Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Total Distance per 90,Running Distance per 90 (15-20 km/h),HSR Distance per 90 (20-25 km/h),Sprinting Distance per 90 (+25 km/h),HI Distance per 90 (+20 km/h),Meter/Min,Max Speed (km/h),Count Medium Acceleration per 90 (1.5 m/s² to 3 m/s²),Count High Acceleration per 90 (+3 m/s²),Count Medium Deceleration per 90 (-1.5 m/s² to -3 m/s²),Count High Deceleration per 90 (-3 m/s²),Count HSR per 90 (20-25 km/h),Count Sprint per 90 (+25 km/h),Count HI per 90 (+20 km/h)
K. Fujimoto,Gil Vicente,Gil Vicente,"AMF, CF, RCMF",25,3000000,2025-06-30,6,522,4,1.63,1,1.15,9.66,50,Japan,Japan,left,176,69,no,4.31,3.28,68.42,0.34,0,0,0,0,2.07,2.73,0.52,1,0.17,0,0,2.93,0.69,3,0.52,0.28,0,0,8,1.38,50,50,0.17,1.72,60,1.21,57.14,0.52,66.67,0.17,1.38,87.5,4.48,53.85,2.07,0.69,0,20.86,1.38,2.07,27.59,81.25,7.93,69.57,5.52,87.5,8.1,91.49,24.14,86.43,1.72,30,16.34,17.64,0.2,1.38,0,0,0.17,0,0.86,2.24,76.92,2.41,57.14,0.69,50,1.21,1.03,4.31,72,0,,0,,0,0,0,0,,,0,,,0.34,0.17,0,0.34,1,100,,,,,,,,,,,,,,
Jason,Arouca,Arouca,"RAMF, RW, RWB",30,3000000,2025-06-30,6,451,0,0.65,0,0.77,13.97,48.57,Spain,Spain,right,178,65,no,6.39,4.99,56,0.4,50,0,0,0,3.59,4.82,0.4,2,0.4,0,0,2.59,0,0,0,0.13,0,0,8,1.6,12.5,0,0,2,30,0.2,100,1.8,22.22,0,2.99,53.33,7.58,44.74,1.8,1.2,0.6,15.37,3.39,1.8,20.75,73.08,3.99,80,4.19,90.48,5.99,63.33,18.36,78.26,0.6,33.33,16.19,14.18,0.15,1.2,0,0,0.4,50,0.4,1.2,83.33,1.6,62.5,0.4,50,0.4,0.6,4.19,61.9,0,,0,,0,0,0,0,,,0,,,0.6,0.2,0,3.19,0,0,,,,,,,,,,,,,,
M. Sylla,Arouca,Arouca,"LAMF, LW, LWF",26,3000000,2025-06-30,6,514,0,0.52,0,0.3,16.98,48.45,Guinea,Guinea,right,170,67,no,5.43,7,55,1.58,44.44,0,0,0,1.58,2.27,1.23,1,0.18,0,0,2.63,0,0,0,0.09,0,0,10,1.75,40,0,0,1.4,12.5,0.35,0,1.05,16.67,0,1.75,90,6.13,51.43,0.88,2.8,0.35,23.29,1.4,0.53,30.64,83.43,6.48,64.86,6.65,100,10.51,86.67,27.32,89.1,1.93,54.55,16.79,22.45,0.05,0.7,0,0,0.7,25,0.35,3.5,80,1.93,54.55,1.05,33.33,0.88,0.18,4.38,68,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Ricardo Velho,Farense,Farense,GK,26,3000000,2028-06-30,6,598,0,0,0,0,0.75,60,Portugal,Portugal,right,188,82,no,1.66,0,0,0.45,66.67,0.15,0.2,0,1.51,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.73,0.3,0,14.3,81.05,7.07,65.96,0,0,6.92,95.65,8.28,94.55,6.02,62.5,37.92,54.51,0,0,0,0,0,0,0,1.96,53.85,0,0,0.15,0,0,0,3.91,84.62,13,1.96,39,5.87,0,66.67,12.05,1.81,-0.95,-0.143,0,1.81,0.45,,,,0,0,0,,,,,,,,,,,,,,
Ricardo Esgaio,Sporting CP,Sporting CP,RWB,31,3000000,2026-06-30,1,21,0,0,0,0,,,Portugal,Portugal,right,172,73,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.67,37.35,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,
Jorge Fernandes,Vitória Guimarães,Vitória Guimarães,RCB,27,2500000,2025-06-30,2,142,0,0.2,0,0,10.14,87.5,Portugal,Portugal,right,191,91,no,8.87,3.17,100,5.07,75,0.63,0.73,0,5.07,5.85,0,0,0,0,0,0,0,0,0,0.13,0,0,1,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,35.49,0,0.63,48.17,93.42,17.75,82.14,4.44,100,22.18,100,46.27,94.52,1.9,66.67,20.84,39.77,0,0,0,0,0,0,0,3.8,100,0,0,0,0,0,0,5.7,77.78,0,,0,,0,0,0,0,,,3.8,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Bernardo Vital,Real Zaragoza,Estoril,DMF,23,2500000,2026-06-30,1,34,0,0,0,0,,,Portugal,Portugal,right,187,80,no,,,,,,,0,,,4.29,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.46,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,
Henrique Araújo,Arouca,Arouca,CF,22,2500000,2027-06-30,4,271,1,1.46,0,0.15,20.92,28.57,Portugal,Portugal,right,182,75,yes,1.99,2.66,62.5,5.65,17.65,0,0,0,0.33,0.5,1.33,1,0.33,0,0,2.66,0.33,1,0.33,0.48,0,0,7,2.32,42.86,14.286,0,0.33,100,0.33,100,0,0,0,1.99,66.67,8.3,32,4.32,0.66,0,7.97,0.33,1,9.96,76.67,1,66.67,3.32,80,3.32,80,9.3,78.57,0.33,0,17.17,6.67,0.05,0.66,0,0,0,0,0,1.66,80,1,66.67,0.33,0,0.33,0.33,0.33,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
B. Arrey-Mbi,Sporting Braga,Sporting Braga,"LCB, RCB",21,2500000,2029-06-30,5,456,0,0.14,0,0.14,12.04,67.21,Germany,"Germany, England",left,187,79,no,7.89,5.72,68.97,2.17,63.64,0,0,0.79,3.95,6.32,0.99,0,0,1,0.2,0.59,0,0,0,0.03,0,0,1,0.2,100,0,0,0.2,0,0.2,0,0,0,0,0.39,100,1.78,66.67,0.59,0.2,0,40.26,0.2,0.2,53.49,97.42,10.86,90.91,1.38,100,35.92,98.9,52.5,98.5,0.79,50,19.28,27.12,0.03,0.2,0,0.2,0,0,0.2,1.18,66.67,0.2,0,0,0,0.2,0.2,3.55,77.78,0,,0,,0,0,0,0,,,1.18,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Jovane Cabral,Estrela Amadora,Estrela Amadora,"LW, LAMF",26,2500000,2026-06-30,2,51,0,0.03,0,0.01,30,64.71,Cape Verde Islands,"Cape Verde Islands, Portugal",right,174,81,no,5.29,7.06,75,0,0,0,0,0,0,0,1.76,0,0,0,0,8.82,0,0,0,0.04,0,0,1,1.76,0,0,0,1.76,0,1.76,0,0,0,1.76,8.82,100,19.41,72.73,3.53,1.76,0,15.88,0,3.53,22.94,61.54,5.29,33.33,7.06,75,8.82,60,17.65,60,3.53,100,12.39,20.7,0.01,1.76,0,0,0,0,0,5.29,33.33,0,0,0,0,0,0,1.76,100,0,,0,,0,0,0,0,,,0,,,1.76,0,0,1.76,0,0,,,,,,,,,,,,,,
Sorriso,Famalicão,Famalicão,"RAMF, RW",23,2500000,2026-12-31,6,492,3,0.98,0,0.55,22.32,37.7,Brazil,Brazil,right,176,67,no,7.32,6.4,65.71,3.29,44.44,0.37,0.53,0.18,2.74,3.98,1.65,0,0,0,0,2.2,0.55,3,0.55,0.18,0,0,6,1.1,66.67,50,0,1.46,25,0.55,0,0.91,40,0.37,3.48,31.58,9.7,20.75,2.2,1.65,0.37,16.28,1.83,1.1,22.68,60.48,6.95,47.37,6.77,78.38,5.3,41.38,18.11,69.7,3.11,23.53,17.12,34.9,0.1,1.28,0,0,0,0,0.18,3.48,63.16,1.28,14.29,0,0,0.55,0.37,4.39,25,0,,0,,0,0,0,0,,,0,,,0,0,0,1.28,0,0,,,,,,,,,,,,,,
Mario González,Famalicão,Famalicão,"CF, RAMF",28,2500000,2026-12-31,6,219,2,1.09,1,0.2,16.03,43.59,Spain,Spain,right,183,77,yes,3.7,2.05,80,6.16,60,0,0,0,2.05,3.26,0.41,0,0,0,0,1.64,0.82,2,0.82,0.45,0,0,4,1.64,75,50,0.41,0.41,0,0.41,0,0,0,0.41,1.64,25,5.34,23.08,2.05,0,0,9.45,2.88,1.23,15.62,84.21,1.23,66.67,6.16,93.33,4.11,80,15.21,86.49,0,0,13.95,0,0.08,0.41,0,0,0,0,0.41,0,0,0.41,0,0,0,0.41,0,0.82,0,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
O. Richards,Rio Ave,Rio Ave,LWB,26,2500000,2026-06-30,3,224,0,0,1,0.4,18.08,48.89,England,"England, Jamaica",left,174,69,yes,8.04,5.63,64.29,2.41,66.67,0.4,0.61,0,4.02,6.12,0.4,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0,0.8,0,0,0,0,4.02,40,10.04,36,0.4,1.21,0.4,26.12,3.62,2.01,33.75,79.76,9.24,60.87,11.25,92.86,8.04,85,30.54,82.89,2.41,66.67,17.88,36.46,0.16,1.21,0,0,0.4,0,1.21,2.41,50,1.61,50,0.8,50,1.21,0,5.22,69.23,0,,0,,0,0,0,0,,,0.4,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Clayton,Rio Ave,Rio Ave,CF,25,2500000,2028-12-31,6,595,3,2.21,0,0.09,24.35,31.06,Brazil,Brazil,right,184,78,yes,2.72,2.87,31.58,7.56,38,0,0,0.3,1.82,2.37,2.12,2,0.3,0,0,2.42,0.45,2,0.3,0.34,1,0.15,16,2.42,50,18.75,0,0.45,33.33,0.45,33.33,0,0,0,2.57,41.18,9.23,24.59,2.42,0.45,0.15,9.68,1.21,1.66,12.4,68.29,1.51,50,3.48,73.91,3.93,69.23,11.5,71.05,0.61,50,18.16,28.81,0.01,0.15,0,0,0.15,0,0,0.61,50,0.3,100,0.15,0,0.3,0,0.91,16.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,1,100,,,,,,,,,,,,,,
Félix Correia,Gil Vicente,Gil Vicente,"LAMF, LW, AMF",23,2500000,2028-06-30,6,582,1,0.85,1,1.09,18.87,46.72,Portugal,Portugal,right,178,72,no,6.49,3.09,70,1.39,11.11,0.31,0.4,0.31,4.02,5.23,0.31,0,0,0,0,3.4,0.15,1,0.15,0.13,0,0,9,1.39,11.11,11.111,0.15,2.47,31.25,1.24,37.5,1.24,25,0.15,4.95,43.75,12.84,43.37,3.25,2.47,0.46,21.96,1.7,2.47,29.38,75.79,9.43,62.3,4.02,88.46,10.36,80.6,23.51,81.58,3.4,68.18,19.51,37.68,0.17,1.7,0.15,0,0.77,40,0.46,3.87,56,4.33,57.14,1.55,40,2.63,0.62,6.49,80.95,0,,0,,0,0,0,0,,,0,,,0.62,0,0,1.7,0,0,,,,,,,,,,,,,,
Hélder Costa,Estoril,Estoril,RWF,30,2000000,2025-06-30,5,225,0,0.04,0,0,22.8,26.32,Angola,"Angola, Portugal",left,179,77,no,6.4,8.4,57.14,3.2,0,0,0,0,1.6,2.11,2.8,0,0,0,0,0.4,0,0,0,0.02,0,0,1,0.4,0,0,0,3.6,11.11,0,0,3.6,11.11,0.4,4.4,0,9.6,4.17,0.8,1.6,0.8,18.8,0.8,0.4,26,73.85,4.8,91.67,10,88,6,66.67,21.2,84.91,1.6,50,19.57,18.69,0,0,0,0,0,0,1.2,1.6,75,2,20,0,0,0,0.4,3.2,62.5,0,,0,,0,0,0,0,,,0,,,0,0,0,1.6,0,0,,,,,,,,,,,,,,
L. Ofori,Moreirense,Moreirense,"RDMF, LCMF",26,2000000,2026-06-30,4,300,1,0.06,1,0.42,13.8,32.61,Ghana,Ghana,right,181,69,no,6.9,5.7,47.37,0.3,0,0.3,0.32,0,3.9,4.15,0.9,1,0.3,0,0,0.9,0.3,1,0.3,0.02,0,0,1,0.3,100,100,0.3,0,0,0,0,0,0,0,1.5,40,5.1,23.53,0.6,0.9,0,21.6,0.6,0.6,31.8,85.85,10.2,70.59,6,95,10.2,94.12,27.9,91.4,3.9,46.15,16.82,31.05,0.13,0.3,0.3,0,0,0,0.3,4.8,56.25,0.9,0,0.9,0,0.3,0,3.9,76.92,0,,0,,0,0,0,0,,,0.6,,,0,0,0,0,0,0,,,,,,,,,,,,,,
M. Loum,Arouca,Arouca,CB,27,2000000,2026-06-30,1,101,0,0.02,0,0,8.91,40,Senegal,Senegal,right,188,80,no,9.8,7.13,50,0,0,0.89,0.91,0.89,5.35,5.45,1.78,1,0.89,0,0,0,0,0,0,0.02,0,0,1,0.89,0,0,0,0,0,0,0,0,0,0,0.89,0,0.89,0,0,0,0,21.39,0,0,26.73,86.67,8.91,70,1.78,100,15.15,100,24.95,92.86,1.78,0,20.14,43.51,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,2.67,0,0,,0,,0,0,0,0,,,1.78,,,0,0,0,0,0,0,,,,,,,,,,,,,,
A. El Ouazzani,Sporting Braga,Sporting Braga,CF,23,2000000,2029-06-30,6,311,2,1.31,1,0.51,26.05,33.33,France,"France, Morocco",left,188,75,no,5.79,3.47,83.33,6.08,19.05,0,0,0,2.89,4.62,0.58,0,0,0,0,0.87,0.58,2,0.58,0.38,0,0,3,0.87,66.67,66.667,0.29,0.29,0,0.29,0,0,0,0,0.87,0,13.02,26.67,4.05,0.58,0.29,8.68,1.16,1.16,14.47,82,2.03,71.43,4.63,100,3.18,72.73,13.89,83.33,0.29,100,12.87,5.62,0.15,1.16,0,0,0.29,100,0.58,0.87,100,0.58,100,0.29,100,0.58,0,0.87,66.67,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Matheus Dias,Nacional,Nacional,"DMF, RDMF, CB",22,2000000,2027-12-31,6,490,0,0.01,1,0.15,13.78,53.33,Brazil,Brazil,right,187,75,yes,11.2,7.71,54.76,1.29,71.43,0,0,0.73,6.98,9.66,1.84,2,0.37,0,0,0.55,0,0,0,0,0,0,1,0.18,0,0,0.18,0.18,0,0.18,0,0,0,0,0.37,100,2.57,50,0.37,0.55,0,19.84,0.18,0.92,33.8,84.24,12.12,77.27,4.04,95.45,13.78,90.67,30.31,86.06,3.31,72.22,19.79,35.07,0.03,0.18,0,0,0.55,33.33,0.18,6.06,69.7,0.73,75,0.73,50,0.37,0,6.24,67.65,0,,0,,0,0,0,0,,,0.37,,,0,0,0,0,0,0,,,,,,,,,,,,,,
L. Horníček,Sporting Braga,Sporting Braga,GK,22,2000000,2028-06-30,1,97,0,0,0,0,0.93,100,Czech Republic,Czech Republic,right,194,90,no,0.93,0,0,0.93,100,0,0,0,0.93,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06,0.93,0,16.7,72.22,11.13,58.33,0,0,5.57,100,7.42,100,9.28,50,38.76,53.97,0,0,0,0,0,0,0,4.64,20,0,0,0,0,0,0,4.64,100,0,0,1,0.93,1,100,0.13,0.12,0.13,0.121,0,1.86,0.93,,,,0,0,0,,,,,,,,,,,,,,
Garcia,Nacional,Nacional,RB,22,2000000,2027-12-31,6,583,0,0.1,0,0.93,15.59,58.42,Brazil,Brazil,right,176,68,yes,9.11,7.72,66,2.01,46.15,0.15,0.21,0.62,3.86,5.21,0.77,1,0.15,0,0,4.01,0,0,0,0.02,0,0,2,0.31,50,0,0,4.32,53.57,0,0,4.32,53.57,0,2.32,66.67,4.48,51.72,0.15,1.54,0.31,23.93,2.16,0.93,35.97,76.82,14.05,72.53,4.79,90.32,14.51,77.66,24.7,88.75,7.41,47.92,23.61,37.59,0.14,1.39,0,0,0,0,0.93,6.17,57.5,4.63,46.67,1.39,22.22,0.15,2.16,10.19,68.18,0,,0,,0,0,0,0,,,1.08,,,0,0,0,0,0,0,,,,,,,,,,,,,,
João Ferreira,Sporting Braga,Sporting Braga,"RB, RCB",23,2000000,2027-06-30,2,124,0,0,0,0,15.97,59.09,Portugal,Portugal,right,185,79,yes,14.52,5.81,75,2.18,66.67,0.73,1.2,0.73,9.44,15.6,2.9,2,1.45,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,5.08,0,0,1.45,50,4.35,33.33,1.45,4.35,0.73,37.74,1.45,0,58.79,69.14,24.68,61.76,7.98,81.82,18.87,73.08,46.45,79.69,7.98,45.45,21.49,43.62,0,0,0,0,0,0,0,8.71,50,3.63,0,1.45,50,0.73,0,15.24,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Zé Carlos,Vitória Guimarães,Vitória Guimarães,"LCMF, RDMF",22,2000000,2027-06-30,2,25,0,0,0,0,,,Portugal,Portugal,right,172,66,no,,,,,,,0,,,6.67,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.76,13.56,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,
Vasco Sousa,Porto,Porto,"AMF, RCMF, RDMF",21,2000000,2027-06-30,5,272,0,0.38,0,0.46,24.82,53.33,Portugal,Portugal,right,169,64,no,10.59,9.26,75,1.32,25,1.32,2.35,0,2.32,4.12,1.65,0,0,0,0,2.32,0,0,0,0.12,0,0,6,1.99,16.67,0,0,0.33,0,0,0,0.33,0,0,1.65,60,9.93,50,0.99,0.99,0.33,28.79,0,3.64,37.72,87.72,10.92,78.79,5.63,88.24,13.24,97.5,35.74,88.89,1.65,80,16.32,15.39,0.15,0.99,0,0,1.32,75,0,5.63,82.35,1.99,100,1.65,80,1.65,0,4.63,71.43,0,,0,,0,0,0,0,,,0.66,,,0,0,0,0.99,0,0,,,,,,,,,,,,,,
João Mendes,Vitória Guimarães,Vitória Guimarães,"LAMF, LCMF",29,2000000,2025-06-30,4,219,1,0.65,0,0.07,15.62,65.79,Portugal,Portugal,right,183,76,no,6.58,4.52,63.64,0.41,100,0,0,0,3.7,5.09,2.47,1,0.41,0,0,4.11,0.41,1,0.41,0.27,0,0,4,1.64,50,25,0,2.47,16.67,1.23,0,1.23,33.33,0.82,3.7,77.78,9.04,77.27,4.52,3.7,0.82,16.44,1.23,3.29,21.37,78.85,4.11,70,5.75,100,6.16,80,18.9,86.96,0,0,19.21,0,0.03,1.23,0,0,0,0,0.41,0.82,50,1.23,66.67,0,0,1.64,0.41,2.88,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,1.64,0,0,,,,,,,,,,,,,,
S. Pérez,Boavista,Boavista,"DMF, LCMF, RDMF",31,2000000,2025-06-30,6,367,0,0.08,0,0.08,11.77,66.67,Colombia,Colombia,right,175,72,no,7.85,5.4,63.64,1.96,37.5,0.25,0.3,0.74,4.17,5.15,0.98,1,0.25,0,0,0.49,0,0,0,0.02,0,0,2,0.49,50,0,0,0,0,0,0,0,0,0,0.25,100,2.7,72.73,0.25,0,0,17.9,0.25,1.96,26.98,77.27,8.83,61.11,3.92,87.5,9.56,87.18,23.79,82.47,3.19,38.46,16.9,26.39,0.02,0.49,0,0,0.25,0,0,4.9,50,0.74,66.67,0.74,0,0.25,0,5.15,61.9,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Henrique Pereira,Casa Pia AC,Casa Pia AC,"CF, LW",22,1800000,2025-06-30,3,130,1,0.21,0,0.06,18.69,44.44,Portugal,Portugal,right,178,70,yes,3.46,4.15,50,1.38,50,0,0,0,1.38,1.71,2.08,0,0,0,0,6.23,0.69,1,0.69,0.15,0,0,3,2.08,66.67,33.333,0,2.08,66.67,2.08,66.67,0,0,0,5.54,62.5,8.31,50,2.77,5.54,0.69,8.31,2.08,2.08,9.69,92.86,2.77,100,2.77,100,2.08,66.67,7.62,100,0,0,8.37,0,0.04,0.69,0,0,0,0,0.69,1.38,100,1.38,50,0,0,0,1.38,1.38,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Gabri Martínez,Sporting Braga,Sporting Braga,LAMF,21,1800000,2029-06-30,4,268,1,0.32,1,0.34,27.54,39.02,Spain,Spain,right,185,77,no,9.07,6.38,68.42,1.34,25,0.34,0.47,0,4.37,6.09,0.67,0,0,0,0,6.04,0.34,1,0.34,0.11,0,0,4,1.34,50,25,0.34,4.37,15.38,4.03,16.67,0,0,0.34,8.06,50,17.46,32.69,5.04,4.7,0.34,32.24,1.34,1.68,39.29,78.63,7.05,71.43,7.39,100,15.45,80.43,31.9,88.42,3.02,66.67,17.12,29.32,0.11,0.67,0,0,1.01,66.67,0.34,4.37,69.23,3.36,40,1.68,60,2.69,1.01,7.39,81.82,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Rafael Rodrigues,AVS ,AVS ,"LB, LWB",22,1800000,2025-06-30,3,114,0,0,0,0.26,13.42,52.94,Portugal,Portugal,left,176,70,yes,11.05,7.89,70,0.79,0,1.58,1.46,0,3.95,3.66,2.37,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,2.37,100,2.37,100,0,0,0,1.58,0,3.95,20,0,1.58,0,28.42,0.79,0.79,39.47,76,13.42,64.71,7.11,88.89,14.21,83.33,32.37,80.49,4.74,33.33,22.57,40.24,0.21,2.37,0,0,0,0,0,2.37,100,3.16,75,0,0,0,2.37,11.05,57.14,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Gabriel Silva,Santa Clara,Santa Clara,"LWF, LW",22,1700000,2025-06-30,5,403,2,0.86,0,0.43,24.34,44.95,Brazil,Brazil,right,177,78,no,5.36,5.58,72,2.23,40,0,0,0,1.34,1.89,1.12,0,0,0,0,3.8,0.45,2,0.45,0.19,0,0,9,2.01,44.44,22.222,0,1.34,50,1.12,60,0,0,0.22,4.69,47.62,14.07,34.92,2.46,2.23,0.89,10.72,0.89,3.13,14.74,63.64,2.46,45.45,3.8,82.35,4.91,72.73,12.06,66.67,1.34,50,16.42,24.42,0.1,0.89,0,0,0,0,0.45,0.89,100,1.34,50,0.22,0,0,0.67,2.23,70,0,,0,,0,0,0,0,,,0,,,0.89,0,0,0.89,0,0,,,,,,,,,,,,,,
G. Yalcin,Arouca,Arouca,"CF, RW",25,1700000,2026-06-30,2,115,0,0.38,1,0,21.91,32.14,Germany,"Germany, Türkiye",right,184,77,yes,6.26,6.26,62.5,3.91,40,0,0,0,2.35,3.1,1.57,0,0,0,0,1.57,0,0,0,0.29,0,0,4,3.13,0,0,0.78,0.78,0,0.78,0,0,0,0,2.35,66.67,7.04,22.22,2.35,1.57,0,13.3,3.13,0,16.43,71.43,5.48,57.14,3.91,100,5.48,71.43,15.65,75,0,0,14.53,0,0,0,0,0,0,0,0.78,0.78,0,2.35,33.33,0,0,0,0,0.78,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Mateus Quaresma,Arouca,Arouca,"LB, LCB",28,1500000,2025-06-30,2,68,0,0,0,0,34.41,57.69,Brazil,Brazil,left,181,76,no,11.91,9.26,71.43,0,0,1.32,2.73,0,3.97,8.18,2.65,1,1.32,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,9.26,14.29,9.26,14.29,0,0,0,3.97,100,17.21,53.85,2.65,7.94,2.65,34.41,3.97,1.32,60.88,78.26,13.24,70,7.94,83.33,26.47,75,48.97,89.19,2.65,100,18.4,19.32,0,0,0,0,0,0,0,9.26,85.71,10.59,37.5,0,0,1.32,1.32,7.94,83.33,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
M. Dominguez,Vasco da Gama,Gil Vicente,"LDMF, LCMF",28,1500000,2028-06-30,4,271,0,0.06,0,0.09,14.28,55.81,Switzerland,"Switzerland, Spain",left,173,63,no,10.3,7.31,68.18,1,0,0.33,0.43,0,4.98,6.43,0,0,0,0,0,1.99,0,0,0,0.02,0,0,3,1,66.67,0,0,0.33,0,0.33,0,0,0,0.33,1.33,100,4.98,53.33,1,1.66,0,22.25,1,1,32.55,89.8,11.29,85.29,6.64,95,8.63,96.15,31.88,91.67,0.33,0,13.6,10.61,0.03,0.33,0,0,0,0,0,3.32,70,2.32,42.86,0,0,0.33,0,2.32,100,0,,0,,0,0,0,0,,,0,,,0.33,0,0,0.66,0,0,,,,,,,,,,,,,,
M. Villanueva,Vitória Guimarães,Vitória Guimarães,LCB,31,1500000,2025-06-30,4,298,0,0,0,0,10.27,64.71,Venezuela,"Venezuela, Spain",left,192,84,no,5.44,5.13,70.59,3.62,58.33,0,0,0,1.81,2.69,0.91,3,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0.3,0,0,0.3,100,0,0,0,42.58,0.3,0.3,55.87,94.59,24.46,91.36,2.42,87.5,24.16,100,51.64,97.08,3.93,69.23,18.82,24.62,0,0,0,0,0,0,0,3.93,76.92,0.6,50,0.3,100,0.3,0,7.55,76,0,,0,,0,0,0,0,,,2.11,,,0,0,0,0,0,0,,,,,,,,,,,,,,
