Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Total Distance per 90,Running Distance per 90 (15-20 km/h),HSR Distance per 90 (20-25 km/h),Sprinting Distance per 90 (+25 km/h),HI Distance per 90 (+20 km/h),Meter/Min,Max Speed (km/h),Count Medium Acceleration per 90 (1.5 m/s² to 3 m/s²),Count High Acceleration per 90 (+3 m/s²),Count Medium Deceleration per 90 (-1.5 m/s² to -3 m/s²),Count High Deceleration per 90 (-3 m/s²),Count HSR per 90 (20-25 km/h),Count Sprint per 90 (+25 km/h),Count HI per 90 (+20 km/h)
V. Pavlidis,Benfica,Benfica,CF,25,25000000,2029-06-30,4,367,2,1.56,0,0.16,17.9,32.88,Greece,Greece,right,186,82,no,2.21,2.21,66.67,2.94,41.67,0.49,0.86,0,0.25,0.43,1.23,0,0,0,0,3.19,0.49,2,0.49,0.38,1,0.25,11,2.7,54.55,18.182,0,0.74,33.33,0.25,100,0.49,0,0.25,3.19,38.46,10.3,21.43,6.38,0.74,0,19.37,1.47,0.49,23.79,75.26,4.17,64.71,5.4,77.27,7.36,86.67,21.83,75.28,1.47,83.33,14.87,36.77,0.04,1.47,0,0,0.25,100,0.25,1.47,50,0.74,66.67,0.25,100,1.23,0.25,1.23,100,0,,0,,0,0,0,0,,,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,
A. Trubin,Benfica,Benfica,GK,23,25000000,2028-06-30,4,396,0,0,0,0,0.23,100,Ukraine,Ukraine,right,199,86,no,0.45,0,0,0,0,0,0,0,0.45,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,100,0,0,0,11.36,0,0.23,15,92.42,5.23,91.3,0,0,8.86,92.31,12.73,96.43,2.27,70,21.75,30.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,16.67,3,0.68,13,2.95,2,76.92,2.05,0.47,-0.95,-0.216,0,0.45,0,,,,0,0,0,,,,,,,,,,,,,,
M. Edwards,Sporting CP,Sporting CP,"RCMF, RWF, RW",25,20000000,2026-06-30,4,63,1,0.38,0,0.02,28.57,65,England,"England, Cyprus",left,168,65,no,4.29,5.71,75,2.86,0,0,0,0,0,0,0,0,0,0,0,8.57,1.43,1,1.43,0.54,0,0,1,1.43,100,100,0,5.71,0,0,0,5.71,0,0,10,71.43,20,71.43,11.43,10,0,31.43,2.86,1.43,40,75,17.14,91.67,7.14,100,2.86,0,34.29,87.5,0,0,13.44,0,0.03,1.43,0,0,1.43,0,0,8.57,83.33,2.86,50,1.43,0,1.43,0,5.71,75,0,,0,,0,0,0,0,,,0,,,0,0,0,1.43,0,0,,,,,,,,,,,,,,
F. Aursnes,Benfica,Benfica,"LAMF, AMF, RW",28,20000000,2027-06-30,3,275,1,0.24,0,0.36,11.45,40,Norway,Norway,right,179,71,no,5.24,3.27,80,2.29,14.29,0,0,0.33,2.62,4.53,0,0,0,0,0,1.31,0.33,1,0.33,0.08,0,0,4,1.31,25,25,0,1.31,25,0.65,0,0.65,50,0,1.96,16.67,3.6,18.18,2.95,0.98,0.33,34.69,1.64,0.33,43.85,82.84,11.45,71.43,6.22,94.74,15.71,87.5,39.27,85.83,3.6,63.64,16.3,43.32,0.12,0.98,0,0,0.33,100,0.33,5.89,72.22,2.62,50,0,0,1.64,0.33,6.87,85.71,0,,0,,0,0,0,0,,,0,,,0,0,0,1.64,0,0,,,,,,,,,,,,,,
Florentino,Benfica,Benfica,RDMF,25,20000000,2027-06-30,4,307,0,0,0,0,17,53.45,Angola,"Angola, Portugal",right,184,73,no,11.43,8.79,63.33,1.47,80,1.47,2.54,0,4.4,7.63,1.47,1,0.29,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0.29,100,0,0,0.29,100,0,1.17,25,3.52,33.33,0.29,0.59,0,38.99,0,1.17,55.7,89.47,17.59,86.67,4.98,100,23.75,91.36,50.13,92.4,5.28,61.11,19.27,40.39,0,0,0,0,0,0,0,12.02,90.24,1.76,33.33,0,0,0.29,0.29,9.97,94.12,0,,0,,0,0,0,0,,,0.59,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Francisco Trincão,Sporting CP,Sporting CP,"RWF, AMF",24,20000000,2026-06-30,6,520,3,2.38,2,0.82,18.52,59.81,Portugal,Portugal,left,184,76,no,3.29,3.81,59.09,0.17,100,0,0,0,1.04,1.8,0.52,0,0,0,0,7.62,0.52,3,0.52,0.41,0,0,21,3.63,33.33,14.286,0.35,2.08,50,0,0,1.9,54.55,0.87,7.44,69.77,13.5,58.97,4.67,3.98,0.87,25.27,1.04,2.6,28.56,80,6.58,65.79,6.92,97.5,8.48,79.59,25.27,82.88,1.21,71.43,16.41,18.13,0.14,1.73,0.17,0,0.52,33.33,0.87,3.98,73.91,1.9,63.64,0.69,50,1.21,0.87,4.85,71.43,0,,0,,0,0,0,0,,,0,,,0,0,0,0.52,0,0,,,,,,,,,,,,,,
S. Banza,Sporting Braga,Sporting Braga,CF,28,18000000,2027-06-30,1,32,0,0,0,0,,,France,"France, Congo DR",right,189,76,no,,,,,,,0,,,0,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,
Z. Debast,Sporting CP,Sporting CP,RCB,20,18000000,2029-06-30,5,265,0,0.08,1,0.03,7.47,59.09,Belgium,Belgium,right,191,78,no,4.42,3.06,66.67,1.7,60,0,0,0.68,2.38,4.12,0.68,0,0,0,0,1.7,0,0,0,0.03,0,0,1,0.34,0,0,0.34,0.34,100,0,0,0.34,100,0,0.68,100,1.36,50,0.34,0.68,0,58.75,0.34,0,71.66,94.31,33.62,92.93,4.08,91.67,27.85,95.12,63.17,97.31,8.15,70.83,23.62,40.76,0.01,0.34,0,0,0.68,100,0.68,12.91,84.21,1.02,66.67,1.36,75,0.34,0.34,16.64,87.76,0,,0,,0,0,0,0,,,3.06,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Leandro Barreiro,Benfica,Benfica,"LDMF, RDMF",24,17000000,2029-06-30,4,265,0,0,0,0,17.32,54.9,Portugal,"Portugal, Luxembourg",right,174,65,no,6.79,7.81,65.22,3.06,44.44,1.02,1.91,0,0.68,1.28,0.68,1,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0,0,0.34,0,0,0,0,3.4,30,1.36,0.68,0,35.32,0,1.02,50.6,93.29,13.25,87.18,9.17,96.3,20.72,98.36,48.57,95.1,1.7,60,16.93,29.1,0,0,0,0,0,0,0,3.06,55.56,0.34,100,0,0,0.68,0,2.72,87.5,0,,0,,0,0,0,0,,,0.34,,,0,0,0,0,0,0,,,,,,,,,,,,,,
Morato,Nottingham Forest,Benfica,LCB,23,15000000,2029-06-30,1,100,0,0.11,0,0,14.4,75,Brazil,Brazil,left,192,88,no,9,6.3,85.71,5.4,50,0,0,0.9,3.6,6.32,0.9,0,0,0,0,0.9,0,0,0,0.1,0,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0.9,100,0.9,100,0.9,3.6,0,41.4,0,0,65.7,93.15,20.7,91.3,3.6,75,28.8,96.88,63,92.86,2.7,100,16.03,28.07,0,0,0,0,0,0,0,9,90,0,0,0,0,0,0,8.1,77.78,0,,0,,0,0,0,0,,,1.8,,,0,0,0,0,0,0,,,,,,,,,,,,,,
